File Name,No. of Vertices,No. of Edges,BA Chromatic Number,BA Runtime (ms),GA Chromatic Number,GA Runtime (ms),DP Chromatic Number,DP Runtime (ms)
anna,138,986,12,4.7941,12,0.4377,12,0.6388
david,87,812,12,0.9996,12,0.1722,12,0.0853
homer,561,3258,15,4.6520,15,1.5216,15,0.3047
huck,74,602,11,0.4966,11,0.6354,11,0.0374
jean,80,508,10,0.3777,10,0.1242,10,0.0376
